100
100
T [fm^-1]		muB [fm^-1]		betapi_dfce [fm^-4]
0.820000		0.192323		0.308109
0.580000		0.219798		0.031900
0.582424		0.219798		0.032691
0.584848		0.219798		0.033500
0.587273		0.219798		0.034327
0.589697		0.219798		0.035174
0.592121		0.219798		0.036040
0.594545		0.219798		0.036925
0.596970		0.219798		0.037831
0.599394		0.219798		0.038757
0.601818		0.219798		0.039705
0.604242		0.219798		0.040674
0.606667		0.219798		0.041666
0.609091		0.219798		0.042679
0.611515		0.219798		0.043716
0.613939		0.219798		0.044777
0.616364		0.219798		0.045861
0.618788		0.219798		0.046970
0.621212		0.219798		0.048105
0.623636		0.219798		0.049265
0.626061		0.219798		0.050451
0.628485		0.219798		0.051664
0.630909		0.219798		0.052904
0.633333		0.219798		0.054173
0.635758		0.219798		0.055470
0.638182		0.219798		0.056797
0.640606		0.219798		0.058153
0.643030		0.219798		0.059540
0.645455		0.219798		0.060958
0.647879		0.219798		0.062408
0.650303		0.219798		0.063890
0.652727		0.219798		0.065406
0.655152		0.219798		0.066956
0.657576		0.219798		0.068540
0.660000		0.219798		0.070160
0.662424		0.219798		0.071816
0.664848		0.219798		0.073509
0.667273		0.219798		0.075240
0.669697		0.219798		0.077009
0.672121		0.219798		0.078818
0.674545		0.219798		0.080667
0.676970		0.219798		0.082558
0.679394		0.219798		0.084490
0.681818		0.219798		0.086465
0.684242		0.219798		0.088484
0.686667		0.219798		0.090547
0.689091		0.219798		0.092656
0.691515		0.219798		0.094812
0.693939		0.219798		0.097015
0.696364		0.219798		0.099267
0.698788		0.219798		0.101568
0.701212		0.219798		0.103920
0.703636		0.219798		0.106324
0.706061		0.219798		0.108780
0.708485		0.219798		0.111290
0.710909		0.219798		0.113855
0.713333		0.219798		0.116476
0.715758		0.219798		0.119154
0.718182		0.219798		0.121891
0.720606		0.219798		0.124687
0.723030		0.219798		0.127544
0.725455		0.219798		0.130463
0.727879		0.219798		0.133445
0.730303		0.219798		0.136492
0.732727		0.219798		0.139604
0.735152		0.219798		0.142784
0.737576		0.219798		0.146032
0.740000		0.219798		0.149350
0.742424		0.219798		0.152739
0.744848		0.219798		0.156201
0.747273		0.219798		0.159737
0.749697		0.219798		0.163349
0.752121		0.219798		0.167038
0.754545		0.219798		0.170805
0.756970		0.219798		0.174653
0.759394		0.219798		0.178583
0.761818		0.219798		0.182595
0.764242		0.219798		0.186693
0.766667		0.219798		0.190878
0.769091		0.219798		0.195150
0.771515		0.219798		0.199513
0.773939		0.219798		0.203968
0.776364		0.219798		0.208516
0.778788		0.219798		0.213159
0.781212		0.219798		0.217899
